VALID_NAME,LANGUAGE,COMMON_NAME_1,COMMON_NAME_2,COMMON_NAME_3
Alosa alosa,English,Alice shad,Allice shad,Allis shad
Alosa caspia,English,Astrabad shad,Caspian shad,Enzeli shad
Alosa chrysochloris,English,Blue herring,Golden shad,Green herring
Alosa fallax,English,Killarney shad,Twait shad,Twaite shad
Alosa immaculata,English,Black Sea herring,Black Sea shad,Kerch black sea shad
Alosa kessleri,English,Black-spined herring,Blackspine herring,Caspian anadromous shad
Alosa maeotica,English,Azov shad,Black sea shad,
Alosa mediocris,English,Fall herring,Freshwater taylor,Hickory Jack
Alosa pseudoharengus,English,Anadromous alewives,Bigeye herring,Branch herring
Alosa sapidissima,English,American shad,Atlantic shad,Common shad
Alosa tanaica,English,Azov shad,Black Sea shad,Paeostom shad
Alphestes afer,English,Mossy grouper,Mutton hamlet,Red nigger hamlet
Alphestes immaculatus,English,Pacific mutton hamlet,,
Alphestes multiguttatus,English,Pacifiic guaseta,Rivulated mutton hamlet,Rock bass
Alticus arnoldorum,English,Leaping rockskipper,Pacific leaping blenny,
Alticus kirkii,English,Kirk's blenny,,
Alticus monochrus,English,Filament blenny,,
Alticus montanoi,English,Montano's Rockskipper,,
Alticus saliens,English,Jumping blenny,Leaping blenny,Leaping rockskipper
Alticus sertatus,English,Garlanded rockskipper,,
Alticus simplicirrus,English,Marquesan rockskipper,Marquesan rockstripper,
Altrichthys alelia,English,Alelia's damselfish,,
Altrichthys azurelineatus,English,Azure damsel,Azure damselfish,Silver-streaked damselfish
Altrichthys curatus,English,Guardian damselfish,,
Aluterus heudelotii,English,Dottered filefish,Dotterel filefish,Filefish
Aluterus monoceros,English,Rough leatherjacket,Trigger fish durgon,Unicorn Fiiefish
Aluterus schoepfii,English,Orange Fiiefish,Orange filefish,Filefish
Aluterus scriptus,English,Broom-tail file,Broomtail filefish,Figured leather-jacket
Amamiichthys matsubarai,English,Japanese blue-spotted seabream,Hoshierenko,
Amanses scopas,English,Broom filefish,Broom leatherjacke,Broom leatherjacket
Amarsipus carlsbergi,English,Amarsipa,,
Ambassis ambassis,English,Commerson's glassy,Commerson's glassy perchlet,Commerson's perchlet
Ambassis dussumieri,English,Bare-headed perchlet,Barehead glassfish,Dussumier's perchlet
Ambassis gymnocephalus,English,Bald glassy,Bald glassy perchlet,Glassy perchlet
Ambassis interrupta,English,Glass perch,Interrupta glassy perchlet,Long-spined glass perchlet
Ambassis jacksoniensis,English,Port Jackson glassfish,Port Jackson perchlet,
Ambassis kopsii,English,Freckled hawkfish,Singapore glassy perchlet,
Ambassis macracanthus,English,Estuarine glass perchlet,Estuarine perchlet,Glassfish
Ambassis miops,English,Flag-tailed glass perchlet,Flag-tailed glassfish,Flag-tailed perchlet
Ambassis nalua,English,Scalloped glassfish,Scalloped perchlet,Glassfish
Ambassis natalensis,English,Slender glassy,,
Ambassis urotaenia,English,Banded-tail glassy perchlet,Bleeker's glass perchlet,Glassfish
Ambassis vachellii,English,Telkara perchlet,Vachell's glassfish,Vachelli's glass perchlet
Ambiserrula jugosa,English,Mud flathead,,
Amblychaeturichthys hexanema,English,Pinkgray goby,,
Amblycirrhitus bimacula,English,Twinspot hawkfish,Two-spot hawk,Two-spot hawkfish
Amblycirrhitus earnshawi,English,White hawkfish,,
Amblycirrhitus oxyrhynchos,English,Sharpsnout hawkfish,,
Amblycirrhitus pinos,English,Redspotted hawkfish,Redspotted Hawkflsh,Grannyfish
Amblyeleotris arcupinna,English,Arcfin shrimpgoby,Horse-shoe shrimp-goby,
